cid,molecular_formula,molecular_weight,x_log_p,h_bond_donor_count,h_bond_acceptor_count,lipinski,casrn,id,casregno,uid,exp,chem_name,def,uvcb,flag,activity
81312,C7H9O3P,172.12,-0.1,2,3,TRUE,6881-57-8,14611,6881578,NA,NA,"Phosphonic acid, P-(phenylmethyl)-",NA,NA,NA,INACTIVE
168684,C23H32O6,404.5,NA,2,6,FALSE,27306-39-4,24601,27306394,NA,NA,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with butyl 2-propenoate, ethenylbenzene and 2-propenoic acid",NA,NA,XU,ACTIVE
110630,C22H40N2Na2O6,474.5,NA,1,6,FALSE,68610-43-5,46776,68610435,NA,NA,"1H-Imidazolium, 1-[2-(2-carboxyethoxy)ethyl]-1(or 3)-(2-carboxyethyl)-4,5-dihydro-2-undecyl-, hydroxide, sodium salt (1:1:2)",NA,NA,NA,INACTIVE
24517,O4S2Zn,193.5,NA,0,6,FALSE,7779-86-4,15417,7779864,NA,NA,"Dithionous acid, zinc salt (1:1)",NA,NA,NA,ACTIVE
73557469,C8H15NaO3S,214.26,NA,0,3,FALSE,3578-64-1,11742,3578641,NA,NA,"1-Octene-1-sulfonic acid, sodium salt (1:1)",NA,NA,NA,INACTIVE
23720410,C8H15NaO3S,214.26,NA,0,3,FALSE,3578-64-1,11742,3578641,NA,NA,"1-Octene-1-sulfonic acid, sodium salt (1:1)",NA,NA,NA,INACTIVE
87477,C12H28O4Si,264.43,NA,0,4,FALSE,18151-86-5,20909,18151865,NA,NA,"Silicic acid (H4SiO4), bis(1,1-dimethylethyl) diethyl ester",NA,NA,NA,INACTIVE
23675288,C7HF4NaO2,216.06,NA,0,6,FALSE,67852-79-3,37083,67852793,NA,NA,"Benzoic acid, 2,3,4,5-tetrafluoro-, sodium salt (1:1)",NA,NA,PMN; S; 5E,ACTIVE
168538,C22H30O5,374.5,NA,1,5,FALSE,26428-43-3,24032,26428433,NA,NA,"2-Propenoic acid, 2-methyl-, 2-oxiranylmethyl ester, polymer with butyl 2-propenoate and ethenylbenzene",NA,NA,XU,ACTIVE
3102,C13H10O,182.22,3.4,0,1,TRUE,119-61-9,3007,119619,NA,NA,"Methanone, diphenyl-",NA,NA,NA,ACTIVE
25007,DyN3O9,348.52,NA,0,9,FALSE,10143-38-1,16672,10143381,NA,NA,"Nitric acid, dysprosium(3+) salt (3:1)",NA,NA,NA,ACTIVE
23679262,C17H12N3NaO4S2,409.4,NA,1,7,FALSE,6764-27-8,14538,6764278,NA,NA,"7-Benzothiazolesulfonic acid, 2-[4-[(2-cyanoacetyl)amino]phenyl]-6-methyl-, sodium salt (1:1)",NA,NA,NA,ACTIVE
160844,C47H39N2NaO6S2,814.9,NA,0,7,FALSE,6483-73-4,14353,6483734,NA,NA,"Benzenemethanaminium, N-[4-[[4-[bis(phenylmethyl)amino]phenyl](2,4-disulfophenyl)methylene]-2,5-cyclohexadien-1-ylidene]-N-(phenylmethyl)-, inner salt, sodium salt (1:1)",NA,NA,NA,INACTIVE
100993,C22H44O2,340.6,8.9,0,2,FALSE,59231-37-7,31451,59231377,NA,NA,"Hexanoic acid, 3,5,5-trimethyl-, isotridecyl ester",NA,NA,NA,ACTIVE
6254,C14H8N2O8S2,396.4,2.7,2,10,TRUE,69-78-3,343,69783,NA,NA,"Benzoic acid, 3,3'-dithiobis[6-nitro-",NA,NA,NA,ACTIVE
87386,C7H10N2O6,218.16,1.2,0,6,TRUE,17977-13-8,20839,17977138,NA,NA,"2-Propenoic acid, 2-methyl-, 2,2-dinitropropyl ester",NA,NA,NA,INACTIVE
12613,C10H20O2,172.26,3.1,0,2,TRUE,659-70-1,6747,659701,NA,NA,"Butanoic acid, 3-methyl-, 3-methylbutyl ester",NA,NA,NA,ACTIVE
20417,C5H9NO2,115.13,-0.6,0,2,TRUE,4394-85-8,12470,4394858,NA,NA,4-Morpholinecarboxaldehyde,NA,NA,PMN,ACTIVE
111888,C24H31ClN4O5S,523,NA,2,8,FALSE,68957-35-7,50509,68957357,NA,NA,"Formic acid, compd. with 3-[[4-[3-(4-chlorophenyl)-4,5-dihydro-1H-pyrazol-1-yl]phenyl]sulfonyl]-N-[3-(dimethylamino)propyl]propanamide (1:1)",NA,NA,NA,INACTIVE
24832091,C20H38O11,454.5,-1.5,3,11,FALSE,9004-57-3,16021,9004573,NA,NA,"Cellulose, ethyl ether",NA,NA,XU,ACTIVE
21118878,C6H13NO10P2,321.12,-6.3,6,11,FALSE,70008-54-7,52064,70008547,NA,NA,"L-Aspartic acid, N,N-bis(phosphonomethyl)-",NA,NA,NA,INACTIVE
112186,C6H13NO10P2,321.12,-6.3,6,11,FALSE,70008-54-7,52064,70008547,NA,NA,"L-Aspartic acid, N,N-bis(phosphonomethyl)-",NA,NA,NA,INACTIVE
