Name,SMILES,formula,MONOISOTOPIC_MASS,MolecularWeight,LogP,Fragpos,Fragneg,CAS,Plate_ID,DTXSID,EPA_Name,EPA_CAS
Prohexadione-calcium,CCC(=O)C1C(=O)CC(CC1=O)C(=O)O,C10H12O5,212.068475,212.2,-0.342,"149.05971,24.1072524236103;167.07027,17.3334151429623;177.05462,29.2183089949687;195.06519,100;41.00219,53.0494539207265;43.01784,46.7664744140385;45.03349,18.7875812983188;53.03858,8.65750398821941;55.05423,8.25868204687692;57.03349,53.705976193398;67.01784,19.6343109583998;69.03349,95.435022702172;71.01276,12.0382869063689;81.03349,26.5554055712357;83.04914,7.54080255246042;85.02841,36.1455393299791;95.04914,7.22174499938643;97.02841,47.0978034114615;97.06479,11.7253650754694;99.04406,38.3482635906246;111.04406,60.7927353049454;113.02332,8.21573199165542;113.05971,24.8558105288993;115.03897,39.2624861946251;117.05462,10.9031783040864;127.03897,13.1549883421279;137.02332,32.5315989691987;139.03897,64.8300404957663;141.05462,28.9606086636397;157.04954,16.2167137072033;167.03389,14.0017180022089;183.0288,28.4820223340287;41.03858,9.3262977052399;44.99711,9.36311203828691;55.01784,34.8754448398576;79.01784,14.4128113879004;83.01276,10.7191066388514;95.01276,8.57160387777641;121.02841,8.12983188121242;147.04406,61.3572217449994;165.05462,8.06847465946742;185.04445,15.8792489876058;211.0601,8.40593937906491","155.03498,100;41.00329,92.1196730418221;55.01894,35.1003888580271;68.9982,23.7679549242124;69.03459,28.5453535433696;71.01385,16.9351638758829;85.0295,23.442583921911;87.04515,10.40393619554;97.0295,18.9667486707404;109.0295,59.3921117371637;111.04515,66.5344020315848;113.02442,5.2852948178716;137.02442,24.8789778589001;139.04007,41.4014760733275;153.01933,6.95976509800809;157.05063,7.22958495357511;181.01425,8.99928577097056;183.0299,12.8799301642727;193.05063,33.4417903341005;43.01894,6.75343226728037;44.9982,12.8243790175383;57.03459,13.3322752162527;67.01894,30.7356559003254;71.05024,17.2525990000794;73.0295,8.1263391794302;75.04515,11.221331640346;83.01385,9.79287358146179",127277-53-6,NA,NA,,
Zamifenacin pharma,C1CC(CN(C1)CCC2=CC3=C(C=C2)OCO3)OC(C4=CC=CC=C4)C5=CC=CC=C5,C27H29NO3,415.2147438,415.5,3.221,"167.08553,0;117.06988,0;386.21146,0;77.03858,0;81.06988,0;91.05423,0;93.06988,0;139.05423,0;141.06988,0;149.05971,0;151.05423,0;153.06988,0;155.10666,0;165.06988,0;169.10118,0;171.11683,0;0.0026321,0","266.15504,9.33135474860335;77.03967,26.3966480446927;105.03459,71.3599860335195;167.08662,100;183.08154,16.6375698324022;224.0717,12.1246508379888;226.08735,8.30132681564246;228.103,10.8938547486034;230.11865,12.5;232.1343,14.7870111731844;246.11357,6.42458100558659;382.18125,5.28107541899441;384.1969,11.8540502793296;386.21255,12.2643156424581;398.17617,31.5729748603352;412.19182,5.31599162011173;91.05532,7.84741620111732;93.03459,9.39245810055866;96.04549,4.59148044692737;103.05532,8.82506983240223;107.05024,20.260125698324;121.0295,9.91620111731844;133.0295,6.77374301675978;135.04515,19.4570530726257;139.05532,12.0199022346369;147.04515,9.02583798882682;149.0608,5.90083798882682;181.06589,21.1941340782123;186.09244,7.82122905027933;188.10809,8.11801675977654;190.12374,4.90572625698324;240.06662,15.2060055865922;244.09792,8.72905027932961;248.12922,14.036312849162;316.17069,5.58659217877095;320.12922,11.9326117318436;334.14487,8.70286312849162;374.17617,4.7747905027933;384.16052,4.75733240223464;386.17617,6.41585195530726",127308-82-1,EPAPLT0068,DTXSID9047257,Zamifenacin,127308-82-1
"3-Buten-2-one, 3-methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-",CC1=CCCC(C1C=C(C)C(=O)C)(C)C,C14H22O,206.1670653,206.32,4.284,"67.05423,0;69.06988,0;83.08553,0;95.08553,0;107.08553,0;109.10118,0;111.11683,0;117.06988,0;123.11683,0;133.10118,0;135.11683,0;137.13248,0;139.14813,0;41.03858,0;43.01784,0;57.06988,0;79.05423,0;81.06988,0;91.05423,0;93.06988,0;97.06479,0;97.10118,0;105.06988,0;119.08553,0;121.10118,0;39.02293,0;53.03858,0;55.05423,0;65.03858,0;77.03858,0;0.025729,0;135.08044,0;139.11174,0","163.14922,64.1534022153961;83.05024,100;121.10227,93.0838685655776;161.13357,7.0743740109839;39.02402,15.5822395978777;41.00329,91.7620776319464;41.03967,17.3042911663409;43.01894,70.9764497812529;49.00837,13.5995531974309;65.03967,29.8706134226938;67.01894,51.9501070464488;117.07097,17.4997672903286;135.11792,18.6726240342549;147.11792,16.3269105464023",127-51-5,EPAPLT0069,DTXSID7027047,alpha-Isomethylionone,127-51-5
"2,6-Di-tert-butylphenol",CC(C)(C)C1=C(C(=CC=C1)C(C)(C)C)O,C14H22O,206.1670653,206.32,4.068,"151.11174,48.5052219321149;41.03858,13.798955613577;55.05423,71.8146214099217;57.06988,100;81.06988,32.5130548302872;83.08553,17.9046997389034;91.05423,41.6971279373368;95.08553,26.8276762402089;97.10118,11.5535248041775;105.06988,23.5443864229765;107.08553,48.3289817232376;119.08553,8.60313315926893;121.10118,11.8211488250653;133.10118,21.6253263707572;135.08044,11.9712793733681;149.09609,25.1501305483029;179.17943,19.934725848564;39.02293,36.1618798955614;49.00728,12.8590078328982;51.02293,15.7114882506527;53.03858,10.7506527415144;65.00219,13.8772845953003;89.03858,24.2689295039164;93.06988,27.6697127937337;191.14304,18.5117493472585","189.12849,100;55.05532,4.08061458645116;95.08662,20.2434400877981;97.06589,22.7875885463434;123.08154,20.2933253516911;133.06589,28.3946922079218;173.09719,78.8286940037913",128-39-2,EPAPLT0068,DTXSID6027052,,
Carfentrazone-ethyl,CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl,C15H14Cl2F3N3O3,411.0364312,412.2,2.769,"366.00184,100;384.01241,5.05397448478901;130.04112,31.0435067059208;272.99922,17.2554792280013;290.03025,95.0359829898593;318.0007,34.9116781157998;319.04109,6.62414131501472;320.01635,5.92901537455021;330.02517,9.06117108276088;338.00693,95.3385672227674;344.05388,8.53778213935231;345.99561,66.8384036637226;348.01126,18.7275106313379;364.00618,37.8312070657507;392.03748,16.6503107621851;394.03314,7.2047759241086;62.9996,29.3915603532875;89.01525,19.7906444226366;92.99018,19.7497546614328;95.00583,30.1275760549558;143.00583,27.5515210991168;148.03169,21.0173372587504;150.04734,18.8338240104678;162.04734,17.9669610729473;173.02763,18.2368334968924;176.96686,44.50441609421;203.97776,22.8573765129212;214.96611,22.015047432123;222.97234,25.6051684658162;245.00431,18.0650964998364;246.97234,20.2731436048414;249.98324,16.045142296369;258.02402,17.1409878966307;264.99414,15.9306509649984;276.0146,21.6715734380111;280.0459,16.3068367680733;293.02544,23.6506378802748;302.03025,25;335.99128,34.8953222113183;0.26341,0.0845273143604841;356.01749,24.4357212953876;368.01749,19.946025515211;376.06703,16.6094210009814","276.0157,15.9876258803396;290.03135,100;330.02626,2.74468505232673;361.99163,5.23267294148621;374.05248,5.34456657671296;390.02293,3.84387546896597;91.99534,1.23082998749424;146.01714,1.84295399196999;225.02364,26.6438491410518;262.03643,2.14572500493648;272.04077,3.67932600539722;333.97673,18.1728427565326;345.99671,2.22470874744948;363.98729,1.82979003488449;34.9694,36.2798657276377;40.01927,10.6101494109129;57.00944,15.4018297900349;68.01419,18.0412031856776;90.01608,9.16869611005068;96.02034,37.3198183373922;118.01099,10.6430593036267;120.02664,9.03705653919568;122.03599,9.37273744487593;128.02656,13.6773514118344;135.03754,24.7284933851116;148.03279,20.5884288817218;171.01308,14.9542552491279;172.03279,46.7188836964391;183.99709,9.93878759955242;197.02873,14.3487132231949;203.97886,65.8197854274995;211.00799,8.85934311854143;245.00541,11.3210030935299;285.99557,11.0708879089054;302.03135,27.532416244323;314.01495,12.5518330810242;318.0018,46.4819324689002;320.01745,10.9260843809649;322.01311,11.3934048575002;322.0331,10.7615349173962;408.0135,9.13578621733693",128639-02-1,EPAPLT0064,DTXSID4032532,,
Pyrene,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,C16H10,202.0782503,202.25,4.814,"177.06988,1.88781014023732;201.06988,100","0,100",129-00-0,EPAPLT0065,DTXSID3024289,,
Pyraflufen-ethyl,CCOC(=O)COC1=C(C=C(C(=C1)C2=NN(C(=C2Cl)OC(F)F)C)F)Cl,C15H13Cl2F3N2O4,412.0204468,413.2,3.924,"366.98586,100;258.03278,6.15091515275226;306.98472,39.1780635503844;326.99094,44.8458869156971;338.99094,69.8441858882765;346.97963,12.7032727767572;348.99528,7.03544941144451;364.99019,24.0661359461115;384.99642,15.880791998367;393.0215,11.41049193713;43.01784,29.0875688916105;45.03349,21.8275838606518;59.01276,7.49812886983738;171.996,7.81792202490304;180.99747,7.08307817922025;183.01312,9.70266040688576;203.97776,8.08328230251072;219.97267,14.7785262298428;242.98866,12.6692522283459;258.98357,35.0275566442131;260.99922,26.4475743348983;272.99922,11.5669864598217;274.97849,56.2427706334626;275.01935,12.2746138667755;276.99414,6.85173845002381;290.9898,6.97421242430428;291.01427,35.544668980064;303.9938,14.261413893992;306.00945,8.72286861264204;308.98038,68.0410968224808;310.99603,10.696060420494;315.02733,11.0294617949241;316.98905,7.08307817922025;324.97529,37.7832210655236;331.00918,6.80410968224808;411.01207,13.3156426481595","324.97639,100;364.99129,7.5960629483401;382.98187,30.701217816827;391.00694,14.0799644108325;34.9694,46.5550797975866;43.01894,1.77389756992715;44.9982,2.79708613690708;59.01385,19.1625424011566;72.99312,2.80820775176556;75.00877,8.51915698159373;169.98144,18.2783740199077;241.00732,1.50697881332369;256.01822,1.71828949563477;258.03387,1.85730968136573;308.98148,6.41161096591225;338.99204,6.48390146249235;41.00329,7.00661736084079;45.03459,3.71461936273147;67.00009,3.33648445754324;69.03459,3.67013290329756;144.98619,10.0316966023467;199.00799,8.81944058277262;204.99857,21.942946115776;258.98467,55.6080742923873;280.97016,4.7822943891453;317.01461,4.54317966968804;319.03026,23.6056275371184",129630-19-9,EPAPLT0069,DTXSID8034871,,
Dimethyl phthalate,COC(=O)C1=CC=CC=C1C(=O)OC,C10H10O4,194.0579088,194.18,0.946,"105.03349,93.6797752808989;135.04406,66.0837259876767;163.03897,100;133.02841,19.6221457049656;44.99711,4.20895251902863;51.02293,26.8167814425516;53.03858,16.1698079014136;63.02293,18.7296121783255;65.03858,8.18684305907938;79.01784,5.46393620877129;107.04914,4.37205509242479;109.02841,5.71312069590431;193.04954,7.74284160927872","135.04515,94.0431090790333;77.03967,100;105.03459,43.004572175049;49.00837,8.40627041149575;51.02402,29.1116917047681;79.01894,12.3318092749837;93.03459,8.24951012410189;95.01385,16.9235793598955;109.0295,7.7073807968648;111.04515,8.09928151534945;131.01385,13.115610711953",131-11-3,EPAPLT0067,DTXSID3022455,,
Diallyl phthalate,C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,C14H14O4,246.0892089,246.26,2.176,"105.03349,60.0090702947846;133.02841,50.0272108843537;149.02332,100;189.05462,60.562358276644;135.04406,12.8888888888889;151.03897,48.9251700680272;167.03389,15.6780045351474;41.03858,28.4943310657596;79.05423,12.530612244898;107.04914,31.8367346938776;109.06479,10.0498866213152;123.04406,15.8049886621315;145.06479,8.45351473922902;153.05462,7.9092970521542","121.0295,100;161.0608,44.1516044271041;165.01933,56.533163468429;205.05063,32.7932160203838;39.02402,3.28051596464687;105.03459,13.3529739628951;149.02442,13.36491758898;187.04007,3.19292937335775;57.03459,8.22517716378692;77.03967,14.7623218409109;79.05532,4.28776176447169;123.04515,13.0026275977387;145.06589,4.55848395572896",131-17-9,EPAPLT0061,DTXSID7020392,,
Dipentyl phthalate,CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC,C18H26O4,306.1831093,306.4,4.784,"71.08553,68.7456352403975;133.02841,21.5202793446146;135.04406,24.5984421165727;137.05971,16.3846360461993;139.07536,20.3491807681977;149.02332,62.2347569164652;219.10157,100;227.16417,16.9218372280419;289.17982,13.1506849315068;41.03858,13.3225893096965;43.05423,64.9422508729519;55.05423,15.1114692452323;69.06988,11.9580983078163;79.05423,10.0402900886382;105.03349,25.4042438893366;107.04914,17.7974751544453;115.07536,7.51544453397797;123.04406,13.13994090787;151.03897,39.6884233145313;163.03897,9.50846091861402;167.03389,19.7152833736234;177.05462,13.0163846360462;193.12231,6.32822992210583;195.06519,4.99059897931775;221.11722,8.02578565672844;225.14852,9.4010206822455;237.11214,15.8313188289014;241.14344,8.53612677947891;29.03858,2.40666129465485;57.06988,10.163846360462;65.03858,2.43352135374698;67.05423,4.39430566747247;73.10118,2.71823798012356;151.07536,1.81036798280956;165.05462,2.74509803921569;177.09101,4.11496105291432;179.10666,2.81493419285522;189.09101,1.90706419554123;201.09101,2.42814934192855;239.12779,2.06285253827558","189.0921,7.24;191.10775,37.435;217.08702,11.835;105.03459,4.42;121.0295,100;123.04515,39.405;149.02442,25.045;151.04007,11.035;165.01933,40.805;167.03498,20.455;205.05063,3.315;207.06628,4.67;219.10267,3.37;233.08193,6.625;235.09758,28.165;275.12888,6.705;59.05024,3.665;77.03967,22.64;79.05532,3.755;87.08154,6.8;107.05024,6.14;113.0608,5.75;125.0608,19.16;127.07645,29.445;135.04515,3.62;165.0921,5.395;169.05063,4.17;175.07645,8.195;175.11284,3.945;179.03498,10.11;181.05063,3.91;191.03498,7.495;219.06628,5.445;241.14453,3.6;255.16018,4.265",131-18-0,EPAPLT0067,DTXSID5031131,,
Fludioxonil,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N,C12H6F2N2O2,248.0397338,248.18,1.877,"247.03136,43.859288212302;141.04472,58.2081876157169;75.02293,17.0129602962353;114.03383,22.4130837276281;117.03349,18.6278543509566;139.02907,24.8302818350134;155.06037,20.7776177741206;171.02521,17.3421106768155;181.00956,29.8806829870397;183.02521,44.0135774531989;183.05529,100;196.02046,22.2690804361243;198.03611,19.4095865048344","196.02156,73.0424822990421;139.03017,75.7600999583507;181.01066,88.9108704706372;181.04074,100;245.01681,99.448146605581",131341-86-1,EPAPLT0061,DTXSID2032398,,
Monobutyl phthalate,CCCCOC(=O)C1=CC=CC=C1C(=O)O,C12H14O4,222.0892089,222.24,1.975,"105.03349,70.7388540774467;133.02841,23.7479150700987;139.07536,4.06166884551233;149.02332,100;205.08592,29.5045755758914;44.99711,8.48397421448857;55.05423,6.45088581346076;57.06988,3.69201640896182;79.05423,17.8830636072668;123.04406,14.0603164585493;135.04406,18.3113194788802;137.05971,7.73565342830095;151.03897,4.39525762971645;167.03389,6.34720281296488;41.03858,3.20966505882883;51.02293,6.50948924852365;53.03858,4.6161475003381;63.02293,7.31190551323085;65.03858,2.13677140152369;93.03349,2.81747283956183;97.02841,2.70928188252265;107.04914,4.67475093540098;109.06479,4.44033719514944;111.08044,2.76788531758554;121.02841,4.93170445836902","77.03967,100;121.0295,56.206224276121;127.07645,4.97508845404;177.0921,6.61780633980793;44.9982,3.14463138132717;79.05532,3.0435410498953;81.07097,1.69326305148386;105.03459,1.77630153801719",131-70-4,EPAPLT0068,DTXSID4040002,,
Famoxadone,CC1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4,C22H18N2O4,374.1266571,374.4,3.211,"205.06077,4.29662921348315;223.07536,22.7685393258427;225.09101,31.7842696629213;331.1441,41.8876404494382;347.13902,12.5932584269663;79.05423,86.1752808988764;107.06037,100;135.05529,30.4;151.0502,23.2;153.06585,12.0179775280899;179.04512,8.31460674157303;195.08044,96.0089887640449;197.09609,88.9438202247191;238.08626,21.7078651685393;282.07608,89.8876404494382;63.02293,23.3887640449438;65.03858,20.3865168539326;94.06513,22.0494382022472;101.03858,25.5370786516854;103.05423,11.8292134831461;117.03349,12.0449438202247;119.04914,47.1550561797753;131.04914,16.5662921348315;169.06479,32.5752808988764;171.08044,19.2269662921348;193.06479,20.4943820224719;213.09101,26.3370786516854;241.08592,24.6741573033708;255.07642,38.1752808988764;257.09207,64.4224719101123;299.10263,20.8808988764045;307.07133,20.8089887640449;311.10263,22.1842696629213;321.08698,14.0943820224719;323.10263,12.9887640449438;335.10263,33.7707865168539;345.08698,35.8831460674157;347.10263,13.4112359550562;349.11828,20;359.10263,37.8876404494382","329.12955,36.38;105.04582,42.86;133.04074,51.18;169.06589,59.09;195.08154,55.55;203.04622,13.24;211.07645,58.39;345.12447,25.52;347.10373,33.5;41.99854,20.62;63.02402,27.95;92.05057,62.66;93.03459,100;119.05024,17.4;197.09719,16.32;213.0921,13.18;321.08808,11.05;323.10373,14.7;345.08808,10.6",131807-57-3,EPAPLT0061,DTXSID8034588,,
Azoxystrobin,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC,C22H17N3O5,403.1168207,403.4,1.444,"344.10297,66.7949004696936;372.09788,100;214.0611,35.0883471259226;0.0228,0.0061735629613062;312.07675,16.7076716618206;314.0924,35.7190785059271;328.07167,53.9923954372624;342.08732,46.1596958174905;376.12918,3.67702974726012;73.00728,14.9854618653545;83.01276,11.2905390292999;90.03383,22.6213375083874;120.04439,15.0704540371282;142.02874,11.9704764034892;144.04439,27.9176917915455;171.05529,13.4198165958399;196.05054,11.4202639230597;198.06619,19.2037575486468;248.0706,12.4267501677477;290.0924,29.7338403041825;302.0924,39.7987027510624;310.08223,10.6866472824871;317.09207,11.5723551778126;330.08732,12.3059718183851;332.10297,16.2156117199732;334.08223,15.7906508611049;335.10263,10.8879445314247;352.0928,10.0067099082979;354.10845,11.4649966450459;358.08223,16.4526951464997;360.09788,21.1585774994408;375.09755,12.3596510847685;402.10845,11.254752851711","212.04655,100;344.10406,25.0818139317438;225.06695,9.4109396914446;241.06187,68.7938288920056;267.07752,13.5577372604021;288.07785,28.0972417017298;312.07785,24.7592332865825;314.0935,14.2917251051893;317.09317,15.6989247311828;318.08841,2.79569892473118;328.07276,33.0575035063114;342.08841,24.9883122954652;0.2041,0.0604347826086956;41.00329,7.18092566619916;69.00944,5.23141654978962;88.01927,13.8709677419355;102.03492,6.7741935483871;118.02984,21.229546517064;119.05024,5.37634408602151;135.02,10.6545114539504;137.03565,16.507713884993;142.02984,45.75502571295;144.04549,25.4932211313698;145.04074,4.6984572230014;170.02475,16.4422627395979;170.03599,5.77840112201964;184.05164,9.57924263674614;196.05164,7.08742402992052;199.0513,4.83870967741935;213.06695,7.72791023842917;214.0622,5.62412342215989;238.0622,5.44179523141655;302.08227,5.95605423094904;315.07752,4.86676016830295",131860-33-8,EPAPLT0069,DTXSID0032520,,
Ethoprop,CCCSP(=O)(OCC)SCCC,C8H19O2PS2,242.0564092,242.3,2.627,"43.05423,92.2300381248993;138.99771,24.303280889223;172.98543,100;201.01673,64.5868012672502;215.03238,43.4194275895398;77.04195,17.6394780647586;124.98206,11.9422219835687;158.96978,12.3986468345594;170.96978,10.970305536165;41.03858,24.2549535520593","88.97979,27.4803086959981;90.99544,20.3198345134856;122.96751,100;165.01446,94.4784787970403;75.02739,48.1820351658843;124.98316,47.7285384676585;154.93958,13.7958469249741;168.95523,11.4647147744451;199.00218,37.5686212109157;136.98316,79.5608242501392;138.99881,7.7173999522635",13194-48-4,EPAPLT0062,DTXSID4032611,,
Triticonazole,CC1(CCC(=CC2=CC=C(C=C2)Cl)C1(CN3C=NC=N3)O)C,C17H20ClN3O,317.12949,317.8,1.512,"70.03997,0;43.02907,0","68.02542,100;41.01452,11.18;233.07387,4.05",131983-72-7,EPAPLT0064,DTXSID0032655,,
"N,N-dimethyl-1-(oxiran-2-yl)methanamine",CN(C)CC1CO1,C5H11NO,101.084064,101.15,-0.3,"58.06513,100;60.08078,13.0953708867819;70.06513,37.5571667596207;72.08078,66.1238148354713;84.08078,29.2638036809816;44.04948,5.77802565532627","44.05057,70.49;68.05057,25.41;42.03492,76.26;55.01894,29.15;58.06622,16.89;41.00329,81.32;43.01894,100;56.05057,12.67",13222-40-7,EPAPLT0069,DTXSID1044643,Glycidyl trimethylammonium chloride,3033-77-0
Dibenzofuran,C1=CC=C2C(=C1)C3=CC=CC=C3O2,C12H8O,168.0575149,168.19,1.917,"143.04914,3.53107344632768;119.04914,100","117.03459,0.885961022243148;141.03459,4.8248958373512;0,100",132-64-9,EPAPLT0060,DTXSID2021993,,
Rifampicin,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,C43H58N4O12,822.4051233,822.9,3.238,"745.38071,61.0307155522508;787.39127,59.2861637018818;805.40184,100;0.48025,0.161985929188354;99.09167,11.1822913687582;101.10732,4.324200652062;707.31744,11.7313962134645;709.33309,15.4664531258937;729.34941,6.38334381971058;731.36506,42.7043413601785;733.38071,14.0593719613339;743.36506,22.1472287364869;748.34399,12.251901847509;749.37562,4.564434021621;761.37562,9.26042441228622;763.39127,57.1984213235715;766.35455,12.9325630612595;773.37562,22.2501858948693;775.39127,4.49007607390036;781.40184,6.04015329176915;44.04948,3.65497912257622;56.04948,11.6627581078762;58.06513,57.1984213235715;70.06513,13.3787107475834;84.08078,4.42715781044443;86.09643,3.17451238345822;97.07602,2.92855917176686;114.10257,5.34233255162157;116.11822,3.20311159412;126.10257,4.46719670537093;706.2858,2.79128296059029;709.2967,2.87136075044329;710.3171,6.66933592632843;723.31235,7.767545615741;738.32325,3.34038780529657;740.3389,3.283189383973;768.3702,6.06875250243093;772.4015,2.73408453926672;794.38585,3.53486243779672;795.3811,6.50346050449008;797.39675,2.98575759309043;821.39675,6.69793513699022","59.01385,100;666.29198,6.95496126406093;708.30255,10.220160196087;729.3505,8.15424344552895;731.36615,9.80435068061452;747.36107,14.0062152580207;761.37672,10.2464218496958;763.35598,10.5484308661969;779.38728,28.5683021840942;41.00329,15.380575130214;55.03017,9.24410207029369;57.04582,9.61176522081674;67.03017,13.9099225281219;69.04582,11.1261872455902;83.06147,4.0311638289491;84.05672,12.5530704250011;95.06147,39.68135860288;97.07712,43.7694226813148;98.07237,8.88081586203878;99.09277,5.52370114238193;112.08802,7.68591062283888;124.08802,24.966078697422;126.10367,11.1830874950759;707.28215,13.8705300477087;723.31345,7.2438394537576;736.3087,4.1843568083337;752.34,4.04867159802162;766.35565,5.63750164135335;768.3713,8.88519280430691;803.38728,5.33111568258415;805.36655,6.89368407230709;819.3822,14.5270713879284",13292-46-1,EPAPLT0060,DTXSID6021244,,
